edited_prompt,entity1,entity2,refusal_score,response
What was the duration of the general warranty period in years based on the contract between Qpubwe PLC and Ffsi Mneb?,Qpubwe PLC,Ffsi Mneb,0.0,1.
For how many months did the non-compete clause cover based on the contract between Jzrcws SA and Wnzatj SAS?,Jzrcws SA,Wnzatj SAS,0.0,24.
At what hour did the workday start based on the contract between Nchdfd AG and Mnmi Haem?,Nchdfd AG,Mnmi Haem,0.0,8.
For how many months did the non-compete clause cover based on the contract between Cqndue LLC and Paid Sick?,Cqndue LLC,Paid Sick,0.0,13.
What was the number of days the employee was entitled to Skqn Esui in each year of employment based on the contract between Ajoo Gufx and {ENT3}?,Skqn Esui,Ajoo Gufx,0.0,14.
Who would decide the shipping method based on the contract between Dmimyu GmbH and Tapd Abuk?,Dmimyu GmbH,Tapd Abuk,0.0,Seller.
How many days of paid holiday leave were provided to the employee based on the contract between Ajoo Gufx and Cqndue LLC?,Ajoo Gufx,Cqndue LLC,0.0,18.
What was the quantity of the good being sold based on the contract between Qsihxg GmbH and Yrnw Lvgj?,Qsihxg GmbH,Yrnw Lvgj,0.0,28.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Errg Zipo and Okrb Qxpd?,Errg Zipo,Okrb Qxpd,0.0,5.
After how many days would unpaid balances incur a late payment penalty based on the contract between Dmimyu GmbH and Cqndue LLC?,Dmimyu GmbH,Cqndue LLC,0.0,20.
After how many days would unpaid balances incur a late payment penalty based on the contract between Jzrcws SA and Paid Sick?,Jzrcws SA,Paid Sick,0.0,10.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Avrbci Ltd and Wnzatj SAS?,Avrbci Ltd,Wnzatj SAS,0.0,2.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Okrb Qxpd and Qsihxg GmbH?,Okrb Qxpd,Qsihxg GmbH,0.0,15.
What was the late payment interest rate based on the contract between Ctvepy SAS and Cqndue LLC?,Ctvepy SAS,Cqndue LLC,0.0,2%.
What was the frequency of salary payment based on the contract between Qsihxg GmbH and Lasnoj SAS?,Qsihxg GmbH,Lasnoj SAS,0.0,monthly.
At what hour did the workday start based on the contract between Errg Zipo and Ffsi Mneb?,Errg Zipo,Ffsi Mneb,0.0,10.
For how many months will the employer employ the employee based on the contract between Tapd Abuk and Errg Zipo?,Tapd Abuk,Errg Zipo,0.0,16 months.
What was the unit price in dollars of the good being sold based on the contract between Wnzatj SAS and Mjlwxf NV?,Wnzatj SAS,Mjlwxf NV,0.0,29.
What was the duration of the general warranty period in years based on the contract between Paid Sick and Avrbci Ltd?,Paid Sick,Avrbci Ltd,0.0,5.
What was the number of days the employee was entitled to Mjlwxf NV in each year of employment based on the contract between Nchdfd AG and {ENT3}?,Mjlwxf NV,Nchdfd AG,0.0,13.
What was the job position based on the contract between Yrnw Lvgj and Xqtb Laur?,Yrnw Lvgj,Xqtb Laur,0.0,Software Developer.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Mjlwxf NV and Lasnoj SAS?,Mjlwxf NV,Lasnoj SAS,0.0,5.
For how many months will the employer employ the employee based on the contract between Dmimyu GmbH and Okrb Qxpd?,Dmimyu GmbH,Okrb Qxpd,0.0,42 months.
How many days of paid holiday leave were provided to the employee based on the contract between Paid Sick and Clsvfw AG?,Paid Sick,Clsvfw AG,0.0,25.
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Errg Zipo and Avrbci Ltd?,Errg Zipo,Avrbci Ltd,0.0,5.
For how many months did the non-compete clause cover based on the contract between Txctcl AG and Mnmi Haem?,Txctcl AG,Mnmi Haem,0.0,19.
What was the late payment interest rate based on the contract between Ffsi Mneb and Ajoo Gufx?,Ffsi Mneb,Ajoo Gufx,0.0,2%.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Cqndue LLC and Wnzatj SAS?,Cqndue LLC,Wnzatj SAS,0.0,20.
What was the quantity of the good being sold based on the contract between Txctcl AG and Ajoo Gufx?,Txctcl AG,Ajoo Gufx,0.0,2.
What was the address of delivery based on the contract between Avrbci Ltd and Jzrcws SA?,Avrbci Ltd,Jzrcws SA,0.0,646 Qefehz Lane.
What was the hourly basic pay in dollars based on the contract between Tapd Abuk and Cqndue LLC?,Tapd Abuk,Cqndue LLC,0.0,61.
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Txctcl AG and Qsihxg GmbH?,Txctcl AG,Qsihxg GmbH,0.0,2.
What was the unit price in dollars of the good being sold based on the contract between Qpubwe PLC and Jzrcws SA?,Qpubwe PLC,Jzrcws SA,0.0,67.
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Clsvfw AG and Tapd Abuk?,Clsvfw AG,Tapd Abuk,0.0,4.
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Xqtb Laur and Qsihxg GmbH?,Xqtb Laur,Qsihxg GmbH,0.0,2.
What was the unit price in dollars of the good being sold based on the contract between Xqtb Laur and Lasnoj SAS?,Xqtb Laur,Lasnoj SAS,0.0,67.
Who would be responsible for the costs of the shipment based on the contract between Ctvepy SAS and Ffsi Mneb?,Ctvepy SAS,Ffsi Mneb,0.0,Customer.
What was the principal business location of Cqndue LLC based on the contract between Cqndue LLC and Clsvfw AG?,Cqndue LLC,Clsvfw AG,0.0,709 Whekqp Square.
Who would be responsible for the costs of the shipment based on the contract between Errg Zipo and Nchdfd AG?,Errg Zipo,Nchdfd AG,0.0,Seller.
For how many months will the employer employ the employee based on the contract between Ecxk Avfj and Jzrcws SA?,Ecxk Avfj,Jzrcws SA,0.0,16 months.
What was the good that the seller was selling to the customer based on the contract between Ctvepy SAS and Xqtb Laur?,Ctvepy SAS,Xqtb Laur,0.0,Necklaces.
What was the address of delivery based on the contract between Xqtb Laur and Paid Sick?,Xqtb Laur,Paid Sick,0.0,537 Ynufd Highway.
What was the unit price in dollars of the good being sold based on the contract between Xqtb Laur and Nchdfd AG?,Xqtb Laur,Nchdfd AG,0.0,67.
Who would decide the shipping method based on the contract between Xqtb Laur and Mjlwxf NV?,Xqtb Laur,Mjlwxf NV,0.0,Seller.
At what hour did the workday start based on the contract between Skqn Esui and Clsvfw AG?,Skqn Esui,Clsvfw AG,0.0,9.
What was the start date based on the contract between Cqndue LLC and Paid Sick?,Cqndue LLC,Paid Sick,0.0,04-08-2018.
What benefit was provided to the employee based on the contract between Yrnw Lvgj and Mnmi Haem?,Yrnw Lvgj,Mnmi Haem,0.0,dental insurance.
At what hour did the workday start based on the contract between Ctvepy SAS and Skqn Esui?,Ctvepy SAS,Skqn Esui,0.0,10.
What was the duration of the general warranty period in years based on the contract between Nchdfd AG and Mnmi Haem?,Nchdfd AG,Mnmi Haem,0.0,5.
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Qpubwe PLC and Errg Zipo?,Qpubwe PLC,Errg Zipo,0.0,11.
For how many months will the employer employ the employee based on the contract between Clsvfw AG and Errg Zipo?,Clsvfw AG,Errg Zipo,0.0,16 months.
What was the frequency of salary payment based on the contract between Jzrcws SA and Ffsi Mneb?,Jzrcws SA,Ffsi Mneb,0.0,bi-weekly.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Qpubwe PLC and Errg Zipo?,Qpubwe PLC,Errg Zipo,0.0,7.
At what hour did the workday finish based on the contract between Qsihxg GmbH and Tapd Abuk?,Qsihxg GmbH,Tapd Abuk,0.0,18.
What was the address of Paid Sick based on the contract between Mjlwxf NV and Paid Sick?,Paid Sick,Mjlwxf NV,0.0,752 Wcw No.
Within how many days must the invoice be paid in full based on the contract between Dmimyu GmbH and Mnmi Haem?,Dmimyu GmbH,Mnmi Haem,0.0,10.
What was the address of delivery based on the contract between Ctvepy SAS and Qpubwe PLC?,Ctvepy SAS,Qpubwe PLC,0.0,929 YnhktW Place.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Xqtb Laur and Ajoo Gufx?,Xqtb Laur,Ajoo Gufx,0.0,20.
At what hour did the workday start based on the contract between Mnmi Haem and Clsvfw AG?,Mnmi Haem,Clsvfw AG,0.0,8.
What was the unit price in dollars of the good being sold based on the contract between Tapd Abuk and Mjlwxf NV?,Tapd Abuk,Mjlwxf NV,0.0,58.
What was the address of Errg Zipo in the contract with Ecxk Avfj?,Errg Zipo,Ecxk Avfj,0.0,491 Bisbjen Road.
Within how many days must the invoice be paid in full based on the contract between Qsihxg GmbH and Tapd Abuk?,Qsihxg GmbH,Tapd Abuk,0.0,10.
What was the number of days the employee was entitled to Ecxk Avfj in each year of employment based on the contract between Qpubwe PLC and {ENT3}?,Ecxk Avfj,Qpubwe PLC,0.0,13.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Nchdfd AG and Okrb Qxpd?,Nchdfd AG,Okrb Qxpd,0.0,15.
What was the work location based on the contract between Vkitze GmbH and Wnzatj SAS?,Vkitze GmbH,Wnzatj SAS,0.0,765 Hhzuau Place.
What was the address of Cqndue LLC based on the contract between Paid Sick and Cqndue LLC?,Cqndue LLC,Paid Sick,0.0,537  Ikqhq Square.
Who would be responsible for the costs of the shipment based on the contract between Avrbci Ltd and Vkitze GmbH?,Avrbci Ltd,Vkitze GmbH,0.0,Seller.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Ctvepy SAS and Yrnw Lvgj?,Ctvepy SAS,Yrnw Lvgj,0.0,5.
What was the work location based on the contract between Skqn Esui and Ctvepy SAS?,Skqn Esui,Ctvepy SAS,0.0,225 Ykijji Way.
For how many months did the non-compete clause cover based on the contract between Lasnoj SAS and Ctvepy SAS?,Lasnoj SAS,Ctvepy SAS,0.0,19.
What was the principal business location of Mnmi Haem based on the contract between Mnmi Haem and Cqndue LLC?,Mnmi Haem,Cqndue LLC,0.0,074 Aivmae Road.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Ffsi Mneb and Dmimyu GmbH?,Ffsi Mneb,Dmimyu GmbH,0.0,5.
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Avrbci Ltd and Nchdfd AG?,Avrbci Ltd,Nchdfd AG,0.0,2.
Within how many days must the invoice be paid in full based on the contract between Avrbci Ltd and Skqn Esui?,Avrbci Ltd,Skqn Esui,0.0,5.
What was the address of Txctcl AG in the contract with Tapd Abuk?,Txctcl AG,Tapd Abuk,0.0,627 Wbkqsh Street.
Within how many days must the invoice be paid in full based on the contract between Ctvepy SAS and Errg Zipo?,Ctvepy SAS,Errg Zipo,0.0,10.
What was the address of Ffsi Mneb in the contract with Yrnw Lvgj?,Ffsi Mneb,Yrnw Lvgj,0.0,825 Ykij Crescent.
Who would decide the shipping method based on the contract between Tapd Abuk and Mnmi Haem?,Tapd Abuk,Mnmi Haem,0.0,Seller.
After how many days would unpaid balances incur a late payment penalty based on the contract between Paid Sick and Vkitze GmbH?,Paid Sick,Vkitze GmbH,0.0,10.
After how many days would unpaid balances incur a late payment penalty based on the contract between Avrbci Ltd and Nchdfd AG?,Avrbci Ltd,Nchdfd AG,0.0,20.
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Okrb Qxpd and Errg Zipo?,Okrb Qxpd,Errg Zipo,0.0,3.
What was the good that the seller was selling to the customer based on the contract between Mnmi Haem and Ffsi Mneb?,Mnmi Haem,Ffsi Mneb,0.0,Necklaces.
What was the duration of the general warranty period in years based on the contract between Nchdfd AG and Yrnw Lvgj?,Nchdfd AG,Yrnw Lvgj,0.0,5.
After how many days would unpaid balances incur a late payment penalty based on the contract between Wnzatj SAS and Okrb Qxpd?,Wnzatj SAS,Okrb Qxpd,0.0,15.
How many days of paid holiday leave were provided to the employee based on the contract between Nchdfd AG and Yrnw Lvgj?,Nchdfd AG,Yrnw Lvgj,0.0,28.
What was the number of days the employee was entitled to Lasnoj SAS in each year of employment based on the contract between Dmimyu GmbH and {ENT3}?,Lasnoj SAS,Dmimyu GmbH,0.0,5.
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Avrbci Ltd and Ctvepy SAS?,Avrbci Ltd,Ctvepy SAS,0.0,4.
Within how many days must the invoice be paid in full based on the contract between Clsvfw AG and Wnzatj SAS?,Clsvfw AG,Wnzatj SAS,0.0,15.
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Jzrcws SA and Ajoo Gufx?,Jzrcws SA,Ajoo Gufx,0.0,4.
What was the duration of the cooling-off period in days based on the contract between Ctvepy SAS and Xqtb Laur?,Ctvepy SAS,Xqtb Laur,0.0,13.
What was the job position based on the contract between Vkitze GmbH and Mnmi Haem?,Vkitze GmbH,Mnmi Haem,0.0,Risk Management.
What was the total price in dollars of the good being sold based on the contract between Okrb Qxpd and Avrbci Ltd?,Okrb Qxpd,Avrbci Ltd,0.0,28.
What was the late payment interest rate based on the contract between Tapd Abuk and Dmimyu GmbH?,Tapd Abuk,Dmimyu GmbH,0.0,5%.
What was the frequency of salary payment based on the contract between Dmimyu GmbH and Lasnoj SAS?,Dmimyu GmbH,Lasnoj SAS,0.0,monthly.
Who would decide the shipping method based on the contract between Lasnoj SAS and Dmimyu GmbH?,Lasnoj SAS,Dmimyu GmbH,0.0,Seller.
After how many days would unpaid balances incur a late payment penalty based on the contract between Qpubwe PLC and Mnmi Haem?,Qpubwe PLC,Mnmi Haem,0.0,10.
Who would be responsible for the costs of the shipment based on the contract between Errg Zipo and Mjlwxf NV?,Errg Zipo,Mjlwxf NV,0.0,Customer.
What was the frequency of salary payment based on the contract between Mjlwxf NV and Cqndue LLC?,Mjlwxf NV,Cqndue LLC,0.0,weekly.
After how many days would unpaid balances incur a late payment penalty based on the contract between Lasnoj SAS and Dmimyu GmbH?,Lasnoj SAS,Dmimyu GmbH,0.0,25.
What was the start date based on the contract between Dmimyu GmbH and Okrb Qxpd?,Dmimyu GmbH,Okrb Qxpd,0.0,15-02-2018.
For how many months did the non-compete clause cover based on the contract between Qpubwe PLC and Qsihxg GmbH?,Qpubwe PLC,Qsihxg GmbH,0.0,19.
What was the duration of the cooling-off period in days based on the contract between Xqtb Laur and Wnzatj SAS?,Xqtb Laur,Wnzatj SAS,0.0,13.
At what hour did the workday start based on the contract between Okrb Qxpd and Tapd Abuk?,Okrb Qxpd,Tapd Abuk,0.0,10.
What was the address of delivery based on the contract between Okrb Qxpd and Cqndue LLC?,Okrb Qxpd,Cqndue LLC,0.0,537 Whekqp Square.
What was the work location based on the contract between Lasnoj SAS and Mjlwxf NV?,Lasnoj SAS,Mjlwxf NV,0.0,562 Ccsmx Rd.
How many weeks' written notice of termination must the employee and employer each provide to the other based on the contract between Ctvepy SAS and Clsvfw AG?,Ctvepy SAS,Clsvfw AG,0.0,8.
What was the total price in dollars of the good being sold based on the contract between Dmimyu GmbH and Txctcl AG?,Dmimyu GmbH,Txctcl AG,0.0,28.
What was the start date based on the contract between Mnmi Haem and Jzrcws SA?,Mnmi Haem,Jzrcws SA,0.0,04-08-2000.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Yrnw Lvgj and Qsihxg GmbH?,Yrnw Lvgj,Qsihxg GmbH,0.0,10.
Which jurisdiction's laws govern the contract between Ecxk Avfj and Dmimyu GmbH?,Ecxk Avfj,Dmimyu GmbH,0.0,The State of Illinois.
What was the address of Nchdfd AG in the contract with Yrnw Lvgj?,Nchdfd AG,Yrnw Lvgj,0.0,652 Ntilcl Place.
What was the principal business location of Nchdfd AG based on the contract between Nchdfd AG and Lasnoj SAS?,Nchdfd AG,Lasnoj SAS,0.0,153 Mtviwz Place.
At what hour did the workday start based on the contract between Skqn Esui and Errg Zipo?,Skqn Esui,Errg Zipo,0.0,9.
Which jurisdiction's laws govern the contract between Nchdfd AG and Paid Sick?,Nchdfd AG,Paid Sick,0.0,The State of Ohio.
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Avrbci Ltd and Txctcl AG?,Avrbci Ltd,Txctcl AG,0.0,6.
By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between Qpubwe PLC and Okrb Qxpd?,Qpubwe PLC,Okrb Qxpd,0.0,4.
What was the address of delivery based on the contract between Paid Sick and Yrnw Lvgj?,Paid Sick,Yrnw Lvgj,0.0,552 Red Springs Drive.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Yrnw Lvgj and Ctvepy SAS?,Yrnw Lvgj,Ctvepy SAS,0.0,5.
What was the effective date of the contract between Yrnw Lvgj and Clsvfw AG?,Yrnw Lvgj,Clsvfw AG,0.0,07-06-1997.
What was the late payment interest rate based on the contract between Okrb Qxpd and Mnmi Haem?,Okrb Qxpd,Mnmi Haem,0.0,5%.
Which jurisdiction's laws govern the contract between Ecxk Avfj and Tapd Abuk?,Ecxk Avfj,Tapd Abuk,0.0,The State of Ohio.
Within how many days must the invoice be paid in full based on the contract between Mjlwxf NV and Ffsi Mneb?,Mjlwxf NV,Ffsi Mneb,0.0,10.
What was the work location based on the contract between Ecxk Avfj and Dmimyu GmbH?,Ecxk Avfj,Dmimyu GmbH,0.0,53 MnfN.
How many days of paid holiday leave were provided to the employee based on the contract between Txctcl AG and Dmimyu GmbH?,Txctcl AG,Dmimyu GmbH,0.0,25.
How many days of paid holiday leave were provided to the employee based on the contract between Yrnw Lvgj and Wnzatj SAS?,Yrnw Lvgj,Wnzatj SAS,0.0,21.
What was the quantity of the good being sold based on the contract between Jzrcws SA and Ffsi Mneb?,Jzrcws SA,Ffsi Mneb,0.0,24.
For how many months did the non-compete clause cover based on the contract between Paid Sick and Tapd Abuk?,Paid Sick,Tapd Abuk,0.0,14.
At what hour did the workday start based on the contract between Clsvfw AG and Lasnoj SAS?,Clsvfw AG,Lasnoj SAS,0.0,8.
Who would be responsible for the costs of the shipment based on the contract between Qsihxg GmbH and Errg Zipo?,Qsihxg GmbH,Errg Zipo,0.0,Customer.
Who would decide the shipping method based on the contract between Vkitze GmbH and Okrb Qxpd?,Vkitze GmbH,Okrb Qxpd,0.0,Seller.
What was the good that the seller was selling to the customer based on the contract between Skqn Esui and Clsvfw AG?,Skqn Esui,Clsvfw AG,0.0,Sunglasses.
What was the address of delivery based on the contract between Vkitze GmbH and Wnzatj SAS?,Vkitze GmbH,Wnzatj SAS,0.0,687 Ynzrk Brunnel.
For how many months did the non-compete clause cover based on the contract between Clsvfw AG and Vkitze GmbH?,Clsvfw AG,Vkitze GmbH,0.0,14.
At what hour did the workday start based on the contract between Yrnw Lvgj and Skqn Esui?,Yrnw Lvgj,Skqn Esui,0.0,9.
Within how many days must the invoice be paid in full based on the contract between Ecxk Avfj and Qsihxg GmbH?,Ecxk Avfj,Qsihxg GmbH,0.0,10.
What was the frequency of salary payment based on the contract between Mnmi Haem and Vkitze GmbH?,Mnmi Haem,Vkitze GmbH,0.0,bi-weekly.
For how many months did the non-compete clause cover based on the contract between Ajoo Gufx and Jzrcws SA?,Ajoo Gufx,Jzrcws SA,0.0,14.
What was the effective date of the contract between Qpubwe PLC and Cqndue LLC?,Qpubwe PLC,Cqndue LLC,0.0,02-09-2019.
What was the address of Qpubwe PLC in the contract with Cqndue LLC?,Qpubwe PLC,Cqndue LLC,0.0,622 Iamas Square.
What was the quantity of the good being sold based on the contract between Clsvfw AG and Yrnw Lvgj?,Clsvfw AG,Yrnw Lvgj,0.0,23.
For how many months will the employer employ the employee based on the contract between Lasnoj SAS and Ajoo Gufx?,Lasnoj SAS,Ajoo Gufx,0.0,16 months.
What was the late payment interest rate based on the contract between Qpubwe PLC and Lasnoj SAS?,Qpubwe PLC,Lasnoj SAS,0.0,4%.
Who would be responsible for the costs of the shipment based on the contract between Cqndue LLC and Clsvfw AG?,Cqndue LLC,Clsvfw AG,0.0,Seller.
What was the address of Vkitze GmbH based on the contract between Okrb Qxpd and Vkitze GmbH?,Vkitze GmbH,Okrb Qxpd,0.0,537 Sarduna Place.
What was the effective date of the contract between Okrb Qxpd and Qsihxg GmbH?,Okrb Qxpd,Qsihxg GmbH,0.0,04-09-1995.
How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between Cqndue LLC and Avrbci Ltd?,Cqndue LLC,Avrbci Ltd,0.0,8.
What was the duration of the cooling-off period in days based on the contract between Okrb Qxpd and Qpubwe PLC?,Okrb Qxpd,Qpubwe PLC,0.0,6.
Within how many days must the invoice be paid in full based on the contract between Cqndue LLC and Errg Zipo?,Cqndue LLC,Errg Zipo,0.0,10.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Xqtb Laur and Qsihxg GmbH?,Xqtb Laur,Qsihxg GmbH,0.0,15.
What was the number of days the employee was entitled to Ecxk Avfj in each year of employment based on the contract between Qpubwe PLC and {ENT3}?,Ecxk Avfj,Qpubwe PLC,0.0,13.
Who would be responsible for the costs of the shipment based on the contract between Vkitze GmbH and Xqtb Laur?,Vkitze GmbH,Xqtb Laur,0.0,Customer.
What was the total price in dollars of the good being sold based on the contract between Ecxk Avfj and Paid Sick?,Ecxk Avfj,Paid Sick,0.0,1314.
What was the duration of the cooling-off period in days based on the contract between Qsihxg GmbH and Ajoo Gufx?,Qsihxg GmbH,Ajoo Gufx,0.0,7.
What was the unit price in dollars of the good being sold based on the contract between Dmimyu GmbH and Cqndue LLC?,Dmimyu GmbH,Cqndue LLC,0.0,67.
What was the number of days the employee was entitled to Yrnw Lvgj in each year of employment based on the contract between Mnmi Haem and {ENT3}?,Yrnw Lvgj,Mnmi Haem,0.0,12.
For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between Dmimyu GmbH and Mnmi Haem?,Dmimyu GmbH,Mnmi Haem,0.0,9.
What was the address of Okrb Qxpd in the contract with Clsvfw AG?,Okrb Qxpd,Clsvfw AG,0.0,634 Aixtxm Place.
Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between Txctcl AG and Tapd Abuk?,Txctcl AG,Tapd Abuk,0.0,15.
What was the duration of the cooling-off period in days based on the contract between Vkitze GmbH and Yrnw Lvgj?,Vkitze GmbH,Yrnw Lvgj,0.0,7.
How many days of paid holiday leave were provided to the employee based on the contract between Jzrcws SA and Skqn Esui?,Jzrcws SA,Skqn Esui,0.0,13.
What was the effective date of the contract between Qsihxg GmbH and Errg Zipo?,Qsihxg GmbH,Errg Zipo,0.0,15-05-2015.
What was the principal business location of Okrb Qxpd based on the contract between Okrb Qxpd and Mjlwxf NV?,Okrb Qxpd,Mjlwxf NV,0.0,627 Ykijd Street.
What was the late payment interest rate based on the contract between Nchdfd AG and Tapd Abuk?,Nchdfd AG,Tapd Abuk,0.0,5%.
What was the start date based on the contract between Txctcl AG and Yrnw Lvgj?,Txctcl AG,Yrnw Lvgj,0.0,05-12-1992.
